X1,word,lang,poet,century,text
5557,بام,fa,Rudaki,3,بام
4250,اشک,fa,Rudaki,3,اشک
922,غم,ar,Rudaki,3,غم
5414,همی,fa,Rudaki,3,همی
152,برم,fa,Rudaki,3,برم
7354,نهانی,fa,Rudaki,3,نهانی
3702,حملان,ar,Rudaki,3,حملان
2060,فزون,ar,Rudaki,3,فزون
3439,ترک,fa,Rudaki,3,ترک
1462,همی,fa,Rudaki,3,همی
6867,زان,fa,Rudaki,3,زان
998,شهرهٔ,fa,Rudaki,3,شهرهٔ
1511,تیره,fa,Rudaki,3,تیره
7681,جو,fa,Rudaki,3,جو
4876,آسا,fa,Rudaki,3,آسا
388,آدمی,fa,Rudaki,3,آدمی
5840,هجر,fa,Rudaki,3,هجر
1942,خیل,fa,Rudaki,3,خیل
3276,تیز,fa,Rudaki,3,تیز
5372,نحس,ar,Rudaki,3,نحس
1646,گلستان,fa,Rudaki,3,گلستان
1064,جانت,fa,Rudaki,3,جانت
7169,سپید,fa,Rudaki,3,سپید
4857,گرگ,fa,Rudaki,3,گرگ
2633,چرخ,fa,Rudaki,3,چرخ
7278,رود,fa,Rudaki,3,رود
2143,زمانه,fa,Rudaki,3,زمانه
4660,دل,fa,Rudaki,3,دل
2999,زان,fa,Rudaki,3,زان
1437,کین,fa,Rudaki,3,کین
5160,آیین,fa,Rudaki,3,آیین
1566,هم،,fa,Rudaki,3,هم،
7134,آذر,fa,Rudaki,3,آذر
7683,خستی,fa,Rudaki,3,خستی
4201,پیری,fa,Rudaki,3,پیری
789,یوسف,ar,Rudaki,3,یوسف
6483,شدست,fa,Rudaki,3,شدست
5062,خورشید,fa,Rudaki,3,خورشید
7615,زهر,fa,Rudaki,3,زهر
2862,یاقوت,ar,Rudaki,3,یاقوت
3323,بلور,ar,Rudaki,3,بلور
5321,ژاله,fa,Rudaki,3,ژاله
4903,فرو,fa,Rudaki,3,فرو
513,غم,ar,Rudaki,3,غم
2123,زلفکان,fa,Rudaki,3,زلفکان
4995,پیشانی,fa,Rudaki,3,پیشانی
6422,غم,ar,Rudaki,3,غم
439,ده،,fa,Rudaki,3,ده،
5689,نهی,fa,Rudaki,3,نهی
4116,خاتم,fa,Rudaki,3,خاتم
2814,چوگان,fa,Rudaki,3,چوگان
3985,کنده,fa,Rudaki,3,کنده
7179,کفیده,fa,Rudaki,3,کفیده
261,صبا,ar,Rudaki,3,صبا
1404,نهاد,fa,Rudaki,3,نهاد
1702,همچو,fa,Rudaki,3,همچو
2624,شانه,fa,Rudaki,3,شانه
2478,شیفته,fa,Rudaki,3,شیفته
522,چنینست،,fa,Rudaki,3,چنینست،
2167,شعرش,ar,Rudaki,3,شعرش
4028,کشکین,fa,Rudaki,3,کشکین
3077,عاشق,ar,Rudaki,3,عاشق
386,نشیب,fa,Rudaki,3,نشیب
5625,هن,fa,Rudaki,3,هن
6772,نیک,fa,Rudaki,3,نیک
6039,دمنده,fa,Rudaki,3,دمنده
3590,ور,fa,Rudaki,3,ور
2077,شب,fa,Rudaki,3,شب
6572,کار,fa,Rudaki,3,کار
1902,خدنگ,fa,Rudaki,3,خدنگ
2492,که:,fa,Rudaki,3,که:
4347,سحابستی,ar,Rudaki,3,سحابستی
2296,تا:,fa,Rudaki,3,تا:
5791,دلبرا،,fa,Rudaki,3,دلبرا،
408,بزیب,fa,Rudaki,3,بزیب
7614,بپرداخت,fa,Rudaki,3,بپرداخت
6919,ماه,fa,Rudaki,3,ماه
